z	n	name	levelEnergy(MeV)	halflife	halflifeUnit	halflifeUncertainty	massExcess(keV)	massExcessUncertainty
0	1	Neutron	0	608.9	s	0.3	8.07E+3	4.40E-4
1	0	1H	0	STABLE			7.28E+3	1.30E-5
1	1	2H	0	STABLE			1.31E+4	1.50E-5
1	2	3H	0	12.3221	y	0.0106	1.49E+4	8.00E-5
1	3	4H	0	3.3	MeV	0.3	2.46E+4	1.00E+2
1	4	5H	0	5.3	MeV	0.4	3.28E+4	8.94E+1
1	5	6H	0	1.5	MeV	0.3	4.18E+4	2.54E+2
1	6	7H	0	0.18	MeV	0.34	4.91E+4	1.00E+3
2	1	3He	0	STABLE			1.49E+4	6.00E-5
2	2	4He	0	STABLE			2.42E+3	1.50E-4
2	3	5He	0	719	keV	48	1.12E+4	2.00E+1
2	4	6He	0	807.12	ms	0.17	1.75E+4	5.30E-2
2	5	7He	0	195	keV	4	2.60E+4	7.55
2	6	8He	0	119	ms	1.6	3.16E+4	8.90E-2
2	7	9He	0	180	keV	100	4.09E+4	4.68E+1
2	8	10He	0	1.8	MeV	0.3	4.91E+4	9.28E+1
3	1	4Li	0	5	MeV	0.5	2.53E+4	2.12E+2
3	2	5Li	0	1.23	MeV	0	1.16E+4	5.00E+1
3	3	6Li	0	STABLE			1.40E+4	1.44E-3
3	4	7Li	0	STABLE			1.49E+4	4.19E-3
3	5	8Li	0	838.79	ms	0.35	2.09E+4	4.70E-2
3	6	9Li	0	178	ms	0.3	2.49E+4	1.86E-1
3	7	10Li	0	0.23	MeV	<=	3.30E+4	1.27E+1
3	8	11Li	0	8.75	ms	0.1	4.07E+4	6.15E-1
3	9	12Li	0				4.90E+4	3.00E+1
3	10	13Li	0	125	keV	20	5.69E+4	7.00E+1
4	2	6Be	0	92	keV	6	1.83E+4	5.44
4	3	7Be	0	53.3	d	0.1	1.57E+4	7.09E-2
4	4	8Be	0	5.57	eV	0.25	4.94E+3	3.50E-2
4	5	9Be	0	STABLE			1.13E+4	7.60E-2
4	6	10Be	0	1.39e+06	y	1.16e+04	1.26E+4	8.10E-2
4	7	11Be	0	13.77	s	0.07	2.01E+4	2.38E-1
4	8	12Be	0	21.46	ms	0.05	2.50E+4	1.9
4	9	13Be	0	450	keV	30	3.36E+4	1.01E+1
