Atomic Number (Z)	Atomic Mass (A)	Element	Half-Life	Half-Life (Unit)	Abundance	Mass Excess	Mass Excess (Unit)
1	1	H	STABLE	ignore	99.972 - 99.999	7288.971064	keV
1	2	H	STABLE	ignore	0.001 - 0.028	13135.7229	keV
1	3	H	12.3221	y	-1	14949.8109	keV
1	4	H	ignore	ignore	-1	24621.129	keV
1	5	H	ignore	ignore	-1	32892.447	keV
1	6	H	ignore	ignore	-1	41875.725	keV
1	7	H	ignore	ignore	-1	49135	keV
2	3	He	STABLE	ignore	0.0002	14931.21888	keV
2	4	He	STABLE	ignore	99.9998	2424.91587	keV
2	5	He	ignore	ignore	-1	11231.234	keV
2	6	He	807.12	ms	-1	17592.095	keV
2	7	He	ignore	ignore	-1	26073.128	keV
2	8	He	119	ms	-1	31609.683	keV
2	9	He	ignore	ignore	-1	40935.826	keV
2	10	He	ignore	ignore	-1	49197.147	keV
3	4	Li	ignore	ignore	-1	25323.19	keV
3	5	Li	ignore	ignore	-1	11678.887	keV
3	6	Li	STABLE	ignore	1.9 - 7.8	14086.88044	keV
3	7	Li	STABLE	ignore	92.2 - 98.1	14907.10463	keV
3	8	Li	838.79	ms	-1	20945.805	keV
3	9	Li	178	ms	-1	24954.905	keV
3	10	Li	ignore	ignore	-1	33052.628	keV
3	11	Li	8.75	ms	-1	40728.259	keV
3	12	Li	ignore	ignore	-1	49009.577	keV
3	13	Li	ignore	ignore	-1	56980.895	keV
4	6	Be	ignore	ignore	-1	18375.034	keV
4	7	Be	53.3	d	-1	15768.998	keV
4	8	Be	ignore	ignore	-1	4941.672	keV
4	9	Be	STABLE	ignore	100	11348.451	keV
4	10	Be	1385587	y	-1	12607.487	keV
4	11	Be	13.77	s	-1	20177.169	keV
4	12	Be	21.46	ms	-1	25077.761	keV
4	13	Be	ignore	ignore	-1	33659.08	keV
4	14	Be	4.65	ms	-1	39954.502	keV
4	15	Be	ignore	ignore	-1	49825.821	keV
4	16	Be	ignore	ignore	-1	57447.139	keV
5	7	B	ignore	ignore	-1	27676.553	keV
5	8	B	772.1	ms	-1	22921.569	keV
5	9	B	ignore	ignore	-1	12416.486	keV
5	10	B	STABLE	ignore	18.9 - 20.4	12050.611	keV
5	11	B	STABLE	ignore	79.6 - 81.1	8667.708	keV
5	12	B	20.22	ms	-1	13369.398	keV
5	13	B	17.16	ms	-1	16561.948	keV
5	14	B	12.34	ms	-1	23663.686	keV
5	15	B	10.18	ms	-1	28957.379	keV
5	16	B	ignore	ignore	-1	37111.699	keV
5	17	B	5.07	ms	-1	43716.322	keV
5	18	B	ignore	ignore	-1	51792.64	keV
5	19	B	2.92	ms	-1	59770.251	keV
5	20	B	ignore	ignore	-1	69401.569	keV
5	21	B	ignore	ignore	-1	78382.887	keV
6	8	C	ignore	ignore	-1	35064.269	keV
6	9	C	126.5	ms	-1	28910.971	keV
6	10	C	19.3015	s	-1	15698.673	keV
6	11	C	20.3401	m	-1	10649.397	keV
6	12	C	STABLE	ignore	98.84 - 99.04	0	keV
6	13	C	STABLE	ignore	0.96 - 1.16	3125.00933	keV
6	14	C	5686	y	-1	3019.89328	keV
6	15	C	2.451	s	-1	9873.145	keV
6	16	C	750	ms	-1	13694.133	keV
6	17	C	193	ms	-1	21031.88	keV
6	18	C	92	ms	-1	24919.266	keV
6	19	C	46.3	ms	-1	32413.754	keV
6	20	C	16	ms	-1	37503.567	keV
6	22	C	6.1	ms	-1	53611.203	keV
7	10	N	ignore	ignore	-1	38800.027	keV
7	11	N	ignore	ignore	-1	24365.644	keV
7	12	N	10.996	ms	-1	17338.068	keV
7	13	N	9.967	m	-1	5345.481	keV
7	14	N	STABLE	ignore	99.578 - 99.663	2863.41683	keV
7	15	N	STABLE	ignore	0.337 - 0.422	101.43809	keV
7	16	N	7.13	s	-1	5683.907	keV
7	17	N	4.171	s	-1	7870.079	keV
7	18	N	619	ms	-1	13113.167	keV
7	19	N	336	ms	-1	15856.255	keV
7	20	N	136	ms	-1	21766.498	keV
7	21	N	85.3	ms	-1	25231.915	keV
7	22	N	20.9	ms	-1	31764.805	keV
7	23	N	14.1	ms	-1	36720.429	keV
7	24	N	52	ns	-1	46938	keV
8	11	O	ignore	ignore	-1	47738.913	keV
8	12	O	ignore	ignore	-1	32013.335	keV
8	13	O	8.58	ms	-1	23115.432	keV
8	14	O	70.6183	s	-1	8007.781	keV
