angle,xsec,integral
0.000110,14840000000000000.000000,0
0.001101,1484000000000.000000,0
0.002203,92790000000.000000,0
0.003304,18310000000.000000,0
0.004406,5783000000.000000,0
0.005507,2366000000.000000,0
0.006608,1141000000.000000,0
0.007710,616300000.000000,0
0.008811,362100000.000000,0
0.009913,226900000.000000,0
0.011014,149600000.000000,0
0.012115,102700000.000000,0
0.013217,72920000.000000,0
0.014318,53250000.000000,0
0.015420,39800000.000000,0
0.016521,30360000.000000,0
0.017622,23550000.000000,0
0.018724,18550000.000000,0
0.019825,14800000.000000,0
0.020927,11940000.000000,0
0.022028,9729000.000000,0
0.023130,7999000.000000,0
0.024231,6629000.000000,0
0.025333,5532000.000000,0
0.026434,4647000.000000,0
0.027535,3926000.000000,0
0.028637,3334000.000000,0
0.029738,2845000.000000,0
0.030840,2439000.000000,0
0.031941,2099000.000000,0
0.033043,1814000.000000,0
0.034145,1573000.000000,0
0.035246,1368000.000000,0
0.036348,1194000.000000,0
0.037449,1045000.000000,0
0.038551,917300.000000,0
0.039652,807400.000000,0
0.040754,712500.000000,0
0.041856,630300.000000,0
0.042957,559000.000000,0
0.044059,497000.000000,0
0.045161,442900.000000,0
0.046262,395600.000000,0
0.047364,354100.000000,0
0.048466,317700.000000,0
0.049567,285700.000000,0
0.050669,257500.000000,0
0.051771,232600.000000,0
0.052872,210600.000000,210600.000000
0.053974,191100.000000,401700.000000
0.055076,173800.000000,575500.000000
0.056178,158400.000000,733900.000000
0.057280,144700.000000,878600.000000
0.058381,132400.000000,1011000.000000
0.059483,121500.000000,1132500.000000
0.060585,111700.000000,1244200.000000
0.061687,103000.000000,1347200.000000
0.062789,95110.000000,1442310.000000
0.063891,88030.000000,1530340.000000
0.064993,81650.000000,1611990.000000
0.066095,75890.000000,1687880.000000
0.067197,70690.000000,1758570.000000
0.068299,65970.000000,1824540.000000
0.069401,61690.000000,1886230.000000
0.070503,57790.000000,1944020.000000
0.071605,54240.000000,1998260.000000
0.072707,51000.000000,2049260.000000
0.073809,48030.000000,2097290.000000
0.074911,45310.000000,2142600.000000
0.076013,42810.000000,2185410.000000
0.077116,40500.000000,2225910.000000
0.078218,38370.000000,2264280.000000
0.079320,36410.000000,2300690.000000
0.080422,34580.000000,2335270.000000
0.081524,32880.000000,2368150.000000
0.082627,31300.000000,2399450.000000
0.083729,29830.000000,2429280.000000
0.084831,28450.000000,2457730.000000
0.085934,27150.000000,2484880.000000
0.087036,25940.000000,2510820.000000
0.088139,24790.000000,2535610.000000
0.089241,23710.000000,2559320.000000
0.090343,22690.000000,2582010.000000
0.091446,21720.000000,2603730.000000
0.092548,20800.000000,2624530.000000
0.093651,19930.000000,2644460.000000
0.094754,19100.000000,2663560.000000
0.095856,18310.000000,2681870.000000
0.096959,17550.000000,2699420.000000
0.098062,16830.000000,2716250.000000
0.099164,16140.000000,2732390.000000
0.100267,15480.000000,2747870.000000
0.101370,14840.000000,2762710.000000
